#ID,INTERNALNAME,Name,Type,Appeal,Jamming,Effect,"description"
1,MEGAHORN,Megahorn,Cool,6,0,018,"Makes a great appeal, but allows no more to the end."
2,ATTACKORDER,Attack Order,Cute,2,0,036,"Increases if crowd excitement increases."
3,BUGBUZZ,Bug Buzz,Cute,2,0,036,"Increases if crowd excitement increases."
4,XSCISSOR,X-Scissor,Beauty,2,0,014,"The appeal works great if performed first."
5,SIGNALBEAM,Signal Beam,Beauty,3,0,024,"Scrambles the order of appeals on the next turn."
6,UTURN,U-turn,Cute,4,0,001,"Can avoid being startled by others once."
7,STEAMROLLER,Steamroller,Tough,1,4,008,"Badly startles the Pokemon in front."
8,BUGBITE,Bug Bite,Cute,2,0,036,"Increases if crowd excitement increases."
9,SILVERWIND,Silver Wind,Beauty,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
10,STRUGGLEBUG,Struggle Bug,Cool,2,0,001,"Can avoid being startled by others once."
11,TWINEEDLE,Twineedle,Cool,2,0,015,"Can be repeatedly used without boring the judge."
12,FURYCUTTER,Fury Cutter,Cool,3,0,015,"Can be repeatedly used without boring the judge."
13,LEECHLIFE,Leech Life,Smart,2,3,008,"Badly startles the Pokemon in front."
14,PINMISSILE,Pin Missile,Cool,2,1,007,"Startles the Pokemon that has the judges attention."
15,DEFENDORDER,Defend Order,Smart,0,0,027,"User earns double the score in it's next appeal."
16,HEALORDER,Heal Order,Smart,1,0,033,"Does better based on crowd excitement."
17,QUIVERDANCE,Quiver Dance,Beauty,4,0,003,"The next appeal can be made earlier next turn."
18,RAGEPOWDER,Rage Powder,Smart,2,0,017,"Makes all Pokemon after the user nervous."
19,SPIDERWEB,Spider Web,Smart,2,0,013,"Temporarily stops the crowd from growing excited."
20,STRINGSHOT,String Shot,Smart,2,3,008,"Badly startles the Pokemon in front."
21,TAILGLOW,Tail Glow,Beauty,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
22,FOULPLAY,Foul Play,Smart,2,3,005,"Badly startles those that have made appeals."
23,NIGHTDAZE,Night Daze,Smart,1,2,005,"Badly startles those that have made appeals."
24,CRUNCH,Crunch,Tough,1,4,008,"Badly startles the Pokemon in front."
25,DARKPULSE,Dark Pulse,Cool,2,0,014,"The appeal works great if performed first."
26,SUCKERPUNCH,Sucker Punch,Smart,2,0,003,"The next appeal can be made earlier next turn."
27,NIGHTSLASH,Night Slash,Beauty,3,0,000,"A highly appealing move."
28,BITE,Bite,Tough,1,3,005,"Badly startles those that have made appeals."
29,FEINTATTACK,Feint Attack,Smart,2,0,014,"The appeal works great if performed first."
30,SNARL,Snarl,Tough,1,3,008,"Badly startles the Pokemon in front."
31,ASSURANCE,Assurance,Beauty,2,0,021,"The appeal works great if performed last."
32,PAYBACK,Payback,Cool,1,0,014,"The appeal works great if performed first."
33,PURSUIT,Pursuit,Smart,2,1,005,"Badly startles those that have made appeals."
34,THIEF,Thief,Tough,1,0,034,"Earns the same amount as the last appeal."
35,KNOCKOFF,Knock Off,Smart,1,4,008,"Badly startles the Pokemon in front."
36,BEATUP,Beat Up,Smart,2,0,015,"Can be repeatedly used without boring the judge."
37,FLING,Fling,Tough,2,3,005,"Badly startles those that have made appeals."
38,PUNISHMENT,Punishment,Smart,1,0,005,"Badly startles those that have made appeals."
39,DARKVOID,Dark Void,Smart,2,0,013,"Temporarily stops the crowd from growing excited."
40,EMBARGO,Embargo,Cute,2,0,013,"Temporarily stops the crowd from growing excited."
41,FAKETEARS,Fake Tears,Smart,2,0,021,"The appeal works great if performed last."
42,FLATTER,Flatter,Smart,2,0,017,"Makes all Pokemon after the user nervous."
43,HONECLAWS,Hone Claws,Tough,0,0,027,"User earns double the score in it's next appeal."
44,MEMENTO,Memento,Tough,8,0,018,"Makes a great appeal, but allows no more to the end."
45,NASTYPLOT,Nasty Plot,Cute,0,0,027,"User earns double the score in it's next appeal."
46,QUASH,Quash,Smart,4,0,003,"The next appeal can be made earlier next turn."
47,SNATCH,Snatch,Smart,2,1,005,"Badly startles those that have made appeals."
48,SWITCHEROO,Switcheroo,Cool,1,0,034,"Earns the same amount as the last appeal."
49,TAUNT,Taunt,Smart,2,0,017,"Makes all Pokemon after the user nervous."
50,TORMENT,Torment,Tough,2,0,017,"Makes all Pokemon after the user nervous."
51,ROAROFTIME,Roar of Time,Cool,3,0,037,"Add the score of the last appeal to yours."
52,DRACOMETEOR,Draco Meteor,Smart,6,0,010,"After this move, the user is more easily startled."
53,OUTRAGE,Outrage,Cool,4,4,005,"Badly startles those that have made appeals."
54,DRAGONRUSH,Dragon Rush,Cool,2,0,021,"The appeal works great if performed last."
55,SPACIALREND,Spacial Rend,Tough,2,0,036,"Increases if crowd excitement increases."
56,DRAGONPULSE,Dragon Pulse,Smart,2,0,036,"Increases if crowd excitement increases."
57,DRAGONCLAW,Dragon Claw,Cool,2,1,006,"Startles Pokemon that made the same type appeal."
58,DRAGONTAIL,Dragon Tail,Cool,1,4,008,"Badly startles the Pokemon in front."
59,DRAGONBREATH,DragonBreath,Cool,1,3,005,"Badly startles those that have made appeals."
60,DUALCHOP,Dual Chop,Cool,4,0,000,"A highly appealing move."
61,TWISTER,Twister,Cool,3,0,024,"Scrambles the order of appeals on the next turn."
62,DRAGONRAGE,Dragon Rage,Cool,1,0,006,"The appeal works better the later it is performed."
63,DRAGONDANCE,Dragon Dance,Cool,1,0,004,"Ups the user's condition.  Helps prevent nervousness."
64,BOLTSTRIKE,Bolt Strike,Cool,7,0,010,"After this move, the user is more easily startled."
65,THUNDER,Thunder,Cool,2,2,005,"Badly startles those that have made appeals."
66,VOLTTACKLE,Volt Tackle,Cool,2,2,007,"Startles the Pokemon that have the judges attention."
67,ZAPCANNON,Zap Cannon,Cool,4,0,000,"A highly appealing move."
68,FUSIONBOLT,Fusion Bolt,Cool,7,0,010,"After this move, the user is more easily startled."
69,THUNDERBOLT,Thunderbolt,Cool,4,0,000,"A highly appealing move."
70,WILDCHARGE,Wild Charge,Cool,2,0,014,"The appeal works great if performed first."
71,DISCHARGE,Discharge,Cool,2,0,014,"The appeal works great if performed first."
72,THUNDERPUNCH,ThunderPunch,Cool,4,0,000,"A highly appealing move."
73,VOLTSWITCH,Volt Switch,Cool,3,0,011,"The user will appeal later in the next turn."
74,SPARK,Spark,Cool,1,4,008,"Badly startles the Pokemon in front."
75,THUNDERFANG,Thunder Fang,Smart,3,0,000,"A highly appealing move."
76,SHOCKWAVE,Shock Wave,Cool,2,0,014,"The appeal works great if performed first."
77,ELECTROWEB,Electroweb,Smart,3,0,011,"The user will appeal later in the next turn."
78,CHARGEBEAM,Charge Beam,Beauty,2,0,014,"The appeal works great if performed first."
79,THUNDERSHOCK,ThunderShock,Cool,4,0,000,"A highly appealing move."
80,ELECTROBALL,Electro Ball,Cool,4,0,000,"A highly appealing move."
81,CHARGE,Charge,Smart,2,0,025,"Works well if its the same type as the one before."
82,MAGNETRISE,Magnet Rise,Cool,3,0,000,"A highly appealing move."
83,THUNDERWAVE,Thunder Wave,Cool,2,1,012,"Badly startles all Pokemon that made good appeals."
84,FOCUSPUNCH,Focus Punch,Tough,3,0,011,"The user will appeal later in the next turn."
85,HIGHJUMPKICK,High Jump Kick,Cool,6,0,010,"After this move, the user is more easily startled."
86,CLOSECOMBAT,Close Combat,Cool,6,0,010,"After this move, the user is more easily startled."
87,FOCUSBLAST,Focus Blast,Cool,2,0,014,"The appeal works great if performed first."
88,SUPERPOWER,Superpower,Tough,6,0,010,"After this move, the user is more easily startled."
89,CROSSCHOP,Cross Chop,Cool,3,0,009,"Affected by how well the appeal in front goes."
90,DYNAMICPUNCH,DynamicPunch,Cool,2,1,007,"Startles the Pokemon that has the judges attention."
91,HAMMERARM,Hammer Arm,Cool,2,0,011,"The user will appeal later in the next turn."
92,JUMPKICK,Jump Kick,Cool,6,0,010,"After this move, the user is more easily startled."
93,AURASPHERE,Aura Sphere,Beauty,2,0,014,"The appeal works great if performed first."
94,SACREDSWORD,Sacred Sword,Tough,4,0,001,"Can avoid being startled by others once."
95,SECRETSWORD,Secret Sword,Tough,4,0,000,"A highly appealing move."
96,SKYUPPERCUT,Sky Uppercut,Cool,2,1,006,"Startles the Pokemon that made a same-type appeal."
97,SUBMISSION,Submission,Cool,6,0,010,"After this move, the user is more easily startled."
98,BRICKBREAK,Brick Break,Cool,1,4,008,"Badly startles the Pokemon in front."
99,DRAINPUNCH,Drain Punch,Beauty,1,0,036,"Increases if crowd excitement increases."
100,VITALTHROW,Vital Throw,Cool,3,0,011,"The user will appeal later in the next turn."
101,CIRCLETHROW,Circle Throw,Tough,1,0,014,"The appeal works great if performed first."
102,FORCEPALM,Force Palm,Cool,2,0,021,"The appeal works great if performed last."
103,LOWSWEEP,Low Sweep,Tough,1,4,008,"Badly startles the Pokemon in front."
104,REVENGE,Revenge,Tough,3,0,026,"The next appeal can be made later next turn."
105,ROLLINGKICK,Rolling Kick,Cool,3,0,000,"A highly appealing move."
106,WAKEUPSLAP,Wake-Up Slap,Smart,1,0,014,"The appeal works great if performed first."
107,KARATECHOP,Karate Chop,Tough,3,0,009,"Affected by how well the appeal in front goes."
108,MACHPUNCH,Mach Punch,Cool,3,0,003,"The next appeal can be made earlier next turn."
109,ROCKSMASH,Rock Smash,Tough,2,0,025,"Works well if its the same type as the one before."
110,STORMTHROW,Storm Throw,Tough,1,0,014,"The appeal works great if performed first."
111,VACUUMWAVE,Vacuum Wave,Smart,2,0,003,"The next appeal can be made earlier next turn."
112,DOUBLEKICK,Double Kick,Cool,2,0,025,"Works well if its the same type as the one before."
113,ARMTHRUST,Arm Thrust,Tough,2,1,007,"Startles the Pokemon that has the judges attention."
114,TRIPLEKICK,Triple Kick,Cool,3,0,025,"Works well if its the same type as the one before."
115,COUNTER,Counter,Tough,2,0,001,"Can avoid being startled by others once."
116,FINALGAMBIT,Final Gambit,Cool,2,0,021,"The appeal works great if performed last."
117,LOWKICK,Low Kick,Tough,1,4,008,"Badly startles the Pokemon in front."
